Country,Year,Month,State/Ut Name,Type Of Supply,"E-Way Suppliers (UOM:Number), Scaling Factor:1","E-Way Bills (UOM:Number), Scaling Factor:1","Assessable Value (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ANDAMAN AND NICOBAR,WITHIN-STATE,113,3039,53.1668
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ANDHRA PRADESH,INCOMING FROM OTHER STATES,76717,1197797,44047.1216
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ANDHRA PRADESH,OUTGOING TO OTHER STATES,24336,610595,46903.9625
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ANDHRA PRADESH,WITHIN-STATE,40043,2571365,39327.4214
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ARUNACHAL PRADESH,INCOMING FROM OTHER STATES,4791,51184,1162.3479
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ARUNACHAL PRADESH,OUTGOING TO OTHER STATES,358,4596,371.142
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ARUNACHAL PRADESH,WITHIN-STATE,440,10855,223.9975
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ASSAM,INCOMING FROM OTHER STATES,30762,486954,15406.7379
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ASSAM,OUTGOING TO OTHER STATES,12757,268597,8836.8752
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ASSAM,WITHIN-STATE,16541,696511,12648.9173
India,"Calendar Year (Jan - Dec), 2025","May, 2025",BIHAR,INCOMING FROM OTHER STATES,73444,1104423,25299.3215
India,"Calendar Year (Jan - Dec), 2025","May, 2025",BIHAR,OUTGOING TO OTHER STATES,11316,189144,5456.5235999999995
India,"Calendar Year (Jan - Dec), 2025","May, 2025",BIHAR,WITHIN-STATE,15537,1069204,18096.3458
India,"Calendar Year (Jan - Dec), 2025","May, 2025",CHANDIGARH,INCOMING FROM OTHER STATES,9297,204836,3777.2582
India,"Calendar Year (Jan - Dec), 2025","May, 2025",CHANDIGARH,OUTGOING TO OTHER STATES,5442,120655,2253.6332
India,"Calendar Year (Jan - Dec), 2025","May, 2025",CHANDIGARH,WITHIN-STATE,2509,32925,517.6803
India,"Calendar Year (Jan - Dec), 2025","May, 2025",CHHATTISGARH,INCOMING FROM OTHER STATES,30333,633354,23498.9412
India,"Calendar Year (Jan - Dec), 2025","May, 2025",CHHATTISGARH,OUTGOING TO OTHER STATES,11504,322482,25246.0975
India,"Calendar Year (Jan - Dec), 2025","May, 2025",CHHATTISGARH,WITHIN-STATE,17722,990694,26187.861699999998
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DADRA AND NAGAR HAVELI,INCOMING FROM OTHER STATES,5999,214494,17403.7284
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DADRA AND NAGAR HAVELI,OUTGOING TO OTHER STATES,4062,487499,21838.0652
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DADRA AND NAGAR HAVELI,WITHIN-STATE,3151,136373,6739.453100000001
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DAMAN AND DIU,INCOMING FROM OTHER STATES,25,54,1.4936
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DAMAN AND DIU,OUTGOING TO OTHER STATES,0,0,0
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DAMAN AND DIU,WITHIN-STATE,0,0,0
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DELHI,INCOMING FROM OTHER STATES,148579,4633608,68231.32740000001
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DELHI,OUTGOING TO OTHER STATES,137334,2488914,59159.2713
India,"Calendar Year (Jan - Dec), 2025","May, 2025",DELHI,WITHIN-STATE,80870,1417745,46030.6051
India,"Calendar Year (Jan - Dec), 2025","May, 2025",GOA,INCOMING FROM OTHER STATES,8674,160141,5914.0525
India,"Calendar Year (Jan - Dec), 2025","May, 2025",GOA,OUTGOING TO OTHER STATES,1974,76683,5793.9003
India,"Calendar Year (Jan - Dec), 2025","May, 2025",GOA,WITHIN-STATE,2213,184476,2633.6695
India,"Calendar Year (Jan - Dec), 2025","May, 2025",GUJARAT,INCOMING FROM OTHER STATES,165016,2609306,135769.7699
India,"Calendar Year (Jan - Dec), 2025","May, 2025",GUJARAT,OUTGOING TO OTHER STATES,157934,5067736,168846.3655
India,"Calendar Year (Jan - Dec), 2025","May, 2025",GUJARAT,WITHIN-STATE,198443,7125849,192852.59649999999
India,"Calendar Year (Jan - Dec), 2025","May, 2025",HARYANA,INCOMING FROM OTHER STATES,129283,3834167,109751.1689
India,"Calendar Year (Jan - Dec), 2025","May, 2025",HARYANA,OUTGOING TO OTHER STATES,79603,8108109,119105.94679999999
India,"Calendar Year (Jan - Dec), 2025","May, 2025",HARYANA,WITHIN-STATE,91291,6326689,85342.7742
India,"Calendar Year (Jan - Dec), 2025","May, 2025",HIMACHAL PRADESH,INCOMING FROM OTHER STATES,26902,438465,13510.5391
India,"Calendar Year (Jan - Dec), 2025","May, 2025",HIMACHAL PRADESH,OUTGOING TO OTHER STATES,6643,373071,15536.6502
India,"Calendar Year (Jan - Dec), 2025","May, 2025",HIMACHAL PRADESH,WITHIN-STATE,10364,386703,8078.576800000001
India,"Calendar Year (Jan - Dec), 2025","May, 2025",JAMMU AND KASHMIR,INCOMING FROM OTHER STATES,22218,282430,8274.0895
India,"Calendar Year (Jan - Dec), 2025","May, 2025",JAMMU AND KASHMIR,OUTGOING TO OTHER STATES,4879,61292,4291.0293
India,"Calendar Year (Jan - Dec), 2025","May, 2025",JAMMU AND KASHMIR,WITHIN-STATE,9939,341754,5835.369000000001
India,"Calendar Year (Jan - Dec), 2025","May, 2025",JHARKHAND,INCOMING FROM OTHER STATES,34227,595076,20751.1605
India,"Calendar Year (Jan - Dec), 2025","May, 2025",JHARKHAND,OUTGOING TO OTHER STATES,10544,318821,20330.58
India,"Calendar Year (Jan - Dec), 2025","May, 2025",JHARKHAND,WITHIN-STATE,13316,853331,18725.559699999998
India,"Calendar Year (Jan - Dec), 2025","May, 2025",KARNATAKA,INCOMING FROM OTHER STATES,137412,2861298,104443.98849999999
India,"Calendar Year (Jan - Dec), 2025","May, 2025",KARNATAKA,OUTGOING TO OTHER STATES,63778,3196310,90485.7834
India,"Calendar Year (Jan - Dec), 2025","May, 2025",KARNATAKA,WITHIN-STATE,123645,8236401,125581.4722
India,"Calendar Year (Jan - Dec), 2025","May, 2025",KERALA,INCOMING FROM OTHER STATES,63592,1003167,24814.502599999996
India,"Calendar Year (Jan - Dec), 2025","May, 2025",KERALA,OUTGOING TO OTHER STATES,18787,265201,11500.598600000001
India,"Calendar Year (Jan - Dec), 2025","May, 2025",KERALA,WITHIN-STATE,49498,2286956,64036.758
India,"Calendar Year (Jan - Dec), 2025","May, 2025",LADAKH,INCOMING FROM OTHER STATES,2242,22560,575.1983
India,"Calendar Year (Jan - Dec), 2025","May, 2025",LADAKH,OUTGOING TO OTHER STATES,105,567,36.0429
India,"Calendar Year (Jan - Dec), 2025","May, 2025",LADAKH,WITHIN-STATE,169,2464,75.4636
India,"Calendar Year (Jan - Dec), 2025","May, 2025",LAKSHADWEEP,INCOMING FROM OTHER STATES,87,627,14.785499999999999
India,"Calendar Year (Jan - Dec), 2025","May, 2025",LAKSHADWEEP,OUTGOING TO OTHER STATES,6,17,0.5647
India,"Calendar Year (Jan - Dec), 2025","May, 2025",LAKSHADWEEP,WITHIN-STATE,2,3,0.0794
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MADHYA PRADESH,INCOMING FROM OTHER STATES,90028,1326540,44010.710999999996
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MADHYA PRADESH,OUTGOING TO OTHER STATES,26132,677327,33162.0997
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MADHYA PRADESH,WITHIN-STATE,30385,1473857,29398.8974
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MAHARASHTRA,INCOMING FROM OTHER STATES,241370,4187748,192150.8743
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MAHARASHTRA,OUTGOING TO OTHER STATES,130635,5672423,191257.54859999998
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MAHARASHTRA,WITHIN-STATE,176778,12326302,245219.92789999998
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MANIPUR,INCOMING FROM OTHER STATES,3155,41838,1018.2484
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MANIPUR,OUTGOING TO OTHER STATES,268,4246,471.64279999999997
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MANIPUR,WITHIN-STATE,196,5265,149.089
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MEGHALAYA,INCOMING FROM OTHER STATES,4226,53244,1244.9266
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MEGHALAYA,OUTGOING TO OTHER STATES,725,40207,823.2324000000001
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MEGHALAYA,WITHIN-STATE,743,23242,438.5715
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MIZORAM,INCOMING FROM OTHER STATES,2454,35390,655.1218
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MIZORAM,OUTGOING TO OTHER STATES,151,1478,34.644800000000004
India,"Calendar Year (Jan - Dec), 2025","May, 2025",MIZORAM,WITHIN-STATE,85,2285,46.1
India,"Calendar Year (Jan - Dec), 2025","May, 2025",NAGALAND,INCOMING FROM OTHER STATES,3019,37643,766.9086
